_id;tipo_di_partita;squadra_in_casa;squadra_in_trasferta;datetime_kick_off;gol_segnati_casa;gol_segnati_trasferta;rigori_finali_segnati_casa;rigori_finali_segnati_trasferta;nome_partita;kick_off_day;datetime_kick_off_string;kick_off_day_string;percentuale_possesso_palla_casa;percentuale_possesso_palla_trasferta;gol_totale_casa;gol_totale_trasferta;tiri_totale_casa;tiri_totale_trasferta;tiri_in_porta_casa;tiri_in_porta_trasferta;ammonizioni_casa;ammonizioni_trasferta;espulsioni_casa;espulsioni_trasferta;falli_subiti_casa;falli_subiti_trasferta;fuorigioco_casa;fuorigioco_trasferta;passaggi_casa;passaggi_trasferta;passaggi_completati_casa;passaggi_completati_trasferta;cross_casa;cross_trasferta;cross_completati_casa;cross_completati_trasferta;corner_casa;corner_trasferta;calci_piazzati_casa;calci_piazzati_trasferta;rigori_segnati_casa;rigori_segnati_trasferta;gol_trasferta_1;gol_trasferta_2;gol_casa_1;gol_casa_2;gol_casa_3;gol_casa_4;gol_casa_5;gol_casa_6;gol_casa_7;cartellino_rosso_casa_1;gol_trasferta_3;gol_trasferta_4;Negativo;Neutro;Positivo;total_tweets;Rank casa;Rank ospite;Punti Rank casa;Punti Rank ospite
63b835f472176b118ed9830b;Group B;IRAN;UNITED STATES;2022-11-29 20:00:00;0;1;0;0;IRAN-UNITED STATES;2022-11-29;2022-11-29 20:00:00;2022-11-29;42;45;0;1;6;12;2;5;3;1;0;0;13;10;2;1;463;470;379;413;18;22;3;2;1;5;11;15;0;0;Christian PULISIC;;;;;;;;;;;;12;19;230;261;20;16;1558.64;1635.01
63b835f572176b118ed9830c;Group D;AUSTRALIA;DENMARK;2022-11-30 16:00:00;1;0;0;0;AUSTRALIA-DENMARK;2022-11-30;2022-11-30 16:00:00;2022-11-30;24;60;1;0;8;14;4;3;2;1;0;0;11;10;1;3;286;650;187;567;11;32;2;5;2;6;13;12;0;0;;;Mathew LECKIE;;;;;;;;;;135;292;436;863;38;10;1483.73;1665.47
63b835f572176b118ed9830d;Group D;TUNISIA;FRANCE;2022-11-30 16:00:00;1;0;0;0;TUNISIA-FRANCE;2022-11-30;2022-11-30 16:00:00;2022-11-30;30;56;1;0;5;9;3;3;1;0;0;0;14;6;3;2;328;636;266;566;27;20;4;5;7;8;8;17;0;0;;;Wahbi KHAZRI;;;;;;;;;;231;391;378;1000;30;4;1507.86;1764.85
63b835f672176b118ed9830e;Group C;POLAND;ARGENTINA;2022-11-30 20:00:00;0;2;0;0;POLAND-ARGENTINA;2022-11-30;2022-11-30 20:00:00;2022-11-30;24;67;0;2;4;25;0;13;1;1;0;0;6;11;0;0;321;862;261;814;5;22;2;5;1;9;12;5;0;0;Alexis MAC ALLISTER;Julian ALVAREZ;;;;;;;;;;;213;420;367;1000;26;3;1546.18;1770.65
63b835f672176b118ed9830f;Group C;SAUDI ARABIA;MEXICO;2022-11-30 20:00:00;1;2;0;0;SAUDI ARABIA-MEXICO;2022-11-30;2022-11-30 20:00:00;2022-11-30;29;55;1;2;10;25;2;10;6;1;0;0;20;18;2;6;297;412;197;336;9;34;2;6;1;8;23;22;0;0;Henry MARTIN;Luis CHAVEZ;SALEM ALDAWSARI;;;;;;;;;;67;140;291;498;51;13;1435.74;1649.57
63b835f672176b118ed98310;Group F;CROATIA;BELGIUM;2022-12-01 16:00:00;0;0;0;0;CROATIA-BELGIUM;2022-12-01;2022-12-01 16:00:00;2022-12-01;43;47;0;0;11;15;4;4;0;1;0;0;7;9;4;0;578;596;504;531;24;24;6;8;2;4;9;11;0;0;;;;;;;;;;;;;233;393;374;1000;12;2;1632.15;1821.92
63b835f772176b118ed98311;Group F;CANADA;MOROCCO;2022-12-01 16:00:00;1;2;0;0;CANADA-MOROCCO;2022-12-01;2022-12-01 16:00:00;2022-12-01;52;36;1;2;5;7;0;2;4;0;0;0;14;14;4;4;539;384;472;308;20;7;4;1;6;2;18;18;0;0;Hakim ZIYECH;Youssef EN NESYRI;Nayef AGUERD;;;;;;;;;;93;279;421;793;41;22;1473.82;1558.35
63b835f772176b118ed98312;Group E;JAPAN;SPAIN;2022-12-01 20:00:00;2;1;0;0;JAPAN-SPAIN;2022-12-01;2022-12-01 20:00:00;2022-12-01;14;78;2;1;6;14;3;5;3;0;0;0;9;6;2;2;225;1070;167;992;6;20;3;2;0;2;8;11;0;0;Alvaro MORATA;;Ritsu DOAN;Ao TANAKA;;;;;;;;;196;329;475;1000;24;7;1554.69;1716.93
63b835f772176b118ed98313;Group E;COSTA RICA;GERMANY;2022-12-01 20:00:00;2;4;0;0;COSTA RICA-GERMANY;2022-12-01;2022-12-01 20:00:00;2022-12-01;27;60;2;4;8;32;6;11;1;0;0;0;3;9;4;3;347;727;269;661;12;38;3;12;1;14;12;7;0;0;Serge GNABRY;Kai HAVERTZ;Yeltsin TEJEDA;Juan VARGAS;;;;;;;Kai HAVERTZ;Niclas FUELLKRUG;126;291;461;878;31;11;1500.06;1658.96
63b835f872176b118ed98314;Group H;GHANA;URUGUAY;2022-12-02 16:00:00;0;2;0;0;GHANA-URUGUAY;2022-12-02;2022-12-02 16:00:00;2022-12-02;46;39;0;2;9;12;4;7;2;5;0;0;18;11;2;2;460;446;377;361;20;15;2;4;5;2;12;20;0;0;Giorgian DE ARRASCAETA;Giorgian DE ARRASCAETA;;;;;;;;;;;256;437;307;1000;61;14;1393.47;1640.95
63b835f872176b118ed98315;Group H;KOREA REPUBLIC;PORTUGAL;2022-12-02 16:00:00;2;1;0;0;KOREA-PORTUGAL;2022-12-02;2022-12-02 16:00:00;2022-12-02;34;55;2;1;12;12;6;4;2;0;0;0;9;11;1;5;359;606;304;541;13;22;3;6;5;4;15;10;0;0;Ricardo HORTA;;KIM Younggwon;HWANG Heechan;;;;;;;;;142;261;459;862;28;9;1526.02;1678.65
63b835f872176b118ed98316;Group G;SERBIA;SWITZERLAND;2022-12-02 20:00:00;2;3;0;0;SERBIA-SWITZERLAND;2022-12-02;2022-12-02 20:00:00;2022-12-02;45;41;2;3;11;14;4;7;7;4;0;0;18;13;0;0;476;403;390;325;23;13;6;4;2;0;14;18;0;0;Xherdan SHAQIRI;Breel EMBOLO;Aleksandar MITROVIC;Dusan VLAHOVIC;;;;;;;Remo FREULER;;321;309;370;1000;21;15;1549.53;1621.43
63b835f872176b118ed98317;Group G;CAMEROON;BRAZIL;2022-12-02 20:00:00;1;0;0;0;CAMEROON-BRAZIL;2022-12-02;2022-12-02 20:00:00;2022-12-02;31;56;1;0;7;19;3;6;5;2;1;0;14;14;0;1;295;548;239;491;12;28;3;8;3;11;15;14;0;0;;;Vincent ABOUBAKAR;;;;;;;Vincent ABOUBAKAR;;;99;294;508;901;43;1;1484.95;1837.56
63b835f972176b118ed98318;Round of 16;NETHERLANDS;UNITED STATES;2022-12-03 16:00:00;3;1;0;0;NETHERLANDS-UNITED STATES;2022-12-03;2022-12-03 16:00:00;2022-12-03;33;54;3;1;11;18;6;7;2;0;0;0;10;5;0;3;396;567;320;487;13;27;4;2;4;5;8;10;0;0;Haji WRIGHT;;Memphis DEPAY;Daley BLIND;Denzel DUMFRIES;;;;;;;;4;5;285;294;8;16;1679.41;1635.01
63b835f972176b118ed98319;Round of 16;ARGENTINA;AUSTRALIA;2022-12-03 20:00:00;2;1;0;0;ARGENTINA-AUSTRALIA;2022-12-03;2022-12-03 20:00:00;2022-12-03;53;35;2;1;14;5;5;2;0;2;0;0;8;15;4;0;711;450;635;381;6;15;1;2;1;3;15;11;0;0;Enzo FERNANDEZ;;Lionel MESSI;Julian ALVAREZ;;;;;;;;;152;355;493;1000;3;38;1770.65;1483.73
